id,name,gender,age,age_group,origin,religion,occupation,appearance,ses
499d5bf5-844e-4ab9-a158-924c5d356d37,Frau Rosemarie Hartmann,weiblich,42,30-44,Deutschland,keine,Lehrer,none,hoch
535e56c9-813c-4c0a-a417-f24ffd1f180c,Brita Gröttner,weiblich,37,30-44,Syrien,keine,Manager,none,hoch
dae8032d-c039-474d-b0cf-e0468e187d1d,Prof. Philip Margraf,männlich,29,18-29,Deutschland,keine,Verkäufer,none,niedrig
7cacbf32-4e16-4ad4-bb8c-5e91cd0a08fb,Univ.Prof. Selim Schmidtke B.Eng.,männlich,79,65+,Deutschland,katholisch,Rentner,none,mittel
a028f6b2-c388-4224-b012-9e5cf8ecdf43,Auguste Paffrath-Hofmann,weiblich,53,45-64,Syrien,keine,Pflegekraft,none,mittel
50387081-05c9-45e2-8480-34578fe22af3,Caroline Misicher-Stey,weiblich,59,45-64,Deutschland,keine,Manager,none,hoch
36ff3350-74a6-4c33-89b0-f12c0ea06f1f,Mehmet Säuberlich,männlich,50,45-64,Syrien,katholisch,Lehrer,none,mittel
ebddbd1d-fec6-48a8-9114-dc42670ada69,Birgit Wieloch B.Eng.,weiblich,60,45-64,Indien,evangelisch,Ingenieur,none,mittel
b0790de5-2985-4d6a-861c-bf6b062753ba,Catrin Geisler B.Sc.,weiblich,37,30-44,Deutschland,evangelisch,Ingenieur,none,mittel
eed4ef0d-425d-4a9d-8713-a3b4820a1df1,Dr. Utz Bender B.Sc.,männlich,88,65+,Deutschland,evangelisch,Rentner,none,niedrig
6d5ca2bb-7c04-488e-82b8-73a7478c7dde,Univ.Prof. Gertraut Sauer MBA.,weiblich,54,45-64,Türkei,keine,Ingenieur,none,mittel
552397a7-9f0d-41af-a080-47e93bce29c2,Arnulf Schmiedecke,männlich,37,30-44,Deutschland,keine,Manager,auffällige Haarfarbe,hoch
3eecec69-e6d8-4285-a428-32d8a8c5555c,Eduard Gumprich,männlich,49,45-64,Deutschland,katholisch,Verkäufer,none,mittel
4dc59791-6f11-4187-8136-ac592dd03983,Valentine Peukert-Schönland,weiblich,24,18-29,Deutschland,katholisch,Verkäufer,none,mittel
