uuid,name,age,gender,education,occupation,marriage_status,migration_status,origin,religion,sexuality,appearance,biography
37bafb46-ae9a-4c08-a692-1916cc6df314,Mohammad Zahir,33,male,Fachhochschul- oder Hochschulreife,Friseur/in,single,with_migration,Afghanistan,Muslims,heterosexual,"Mit 33 Jahren trägt er einen gepflegten, leicht stoppeligen Bart und dunkles, kurz geschnittenes Haar, das seine tiefbraunen Augen betont; in seinem Outfit kombiniert er einen eleganten, farblich abgestimmten Friseurmantel oder ein schlichtes Hemd mit modischem Gürtel, was seine schlanke, athletische Statur und den professionellen, aber zugleich trendbewussten Look als Friseur unterstreicht.","Im Alter von 33 Jahren lebt der 33-jährige Afghanen-Migrant, der als Friseur in einer kleinen Stadt in Deutschland arbeitet, in einem selbstständigen Studio, das er vor drei Jahren eröffnet hat. Nach einer langwierigen Asylverfahrenzeit in Deutschland erlangte er die Fachhochschulreife und absolvierte erfolgreich eine Ausbildung zur Friseurmeisterin, um die lokale Nachfrage nach stylischen Haarschnitten zu bedienen. Er ist verheiratet, bleibt aber in der Nähe seiner Familie in Afghanistan in Kontakt, während er sich aktiv in der muslimischen Gemeinde engagiert und dort Beratungen für Neuankömmlinge anbietet. Obwohl er im Alter von 33 noch unverheiratet ist, pflegt er ein stabiles Netzwerk aus Freunden und Kunden, das ihm sowohl beruflich als auch sozial Halt gibt."
2089c0c0-7308-44ef-996c-d11ef6041751,Mohamed,33,male,Fachhochschul- oder Hochschulreife,Erzieher/in,divorced,with_migration,Syrien,Muslims,heterosexual,"Kurzhaarig mit dunklen Haaren, einem gepflegten Bart und olivfarbiger Haut wirkt er freundlich und souverän; sein Outfit aus einem hellblauen Hemd, dunklen Jeans und einer schlichten Uhr ergänzt seine ruhige, Lehrer‑Präsenz.","Er war in Aleppo aufgewachsen, musste wegen des Bürgerkriegs im Alter von 18 Jahren nach Deutschland fliehen und zog zunächst nach Frankfurt, wo er sich schnell in die deutsche Gesellschaft integrierte. Durch intensive Sprachkurse und einen späteren Bachelorstudiengang an einer Fachhochschule erlangte er die Hochschulreife und spezialisierte sich auf frühkindliche Erziehung. Seit fünf Jahren arbeitet er als Erzieher in einem städtischen Kindergarten, wo er seine interkulturelle Kompetenz nutzt, um Kindern aus vielfältigen Herkunftsländern zu fördern. Trotz einer erfolgreichen beruflichen Laufbahn und aktiver Beteiligung an der lokalen Moschee steht er derzeit mit einer Scheidung von seiner ehemaligen Ehepartnerin vor neuen persönlichen Herausforderungen."
e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,Marija Jovanovi,81,female,Haupt- (Volks-)schulabschluss,Rentner/in,married,with_migration,Bosnien und Herzegowina,Christians,heterosexual,"Eine 81‑jährige Frau mit silbrigem, knapp geschnittenem Haar, sonnengebräunter olivfarbene Haut und einem silbernen Ehering an ihrer linken Hand, die häufig ein schlichtes, bunte Bosnien‑Shawl über einem leichten Cardigan trägt.","Marija Petrović, 81, wurde in einem kleinen Dorf in Bosnien und Herzegowina geboren und verließ 1964 Deutschland, um dort als Hausfrau und später als Fabrikarbeiterin zu arbeiten. Sie heiratete 1968 einen bosnischen Migranten aus der Nähe, mit dem sie drei Kinder großzog und ihr Zuhause in der Nachbarschaft zu einem lebendigen Treffpunkt für die Gemeinschaft machte. Nach 30 Jahren im Stahlwerk zog sie sich in den frühen 1990er Jahren in den Ruhestand zurück und widmete sich dem Pfarrer ihres christlichen Kirchenkreises sowie dem Ehrenamt bei einer lokalen Flüchtlingshilfe. Heute lebt sie mit ihrem Mann in einem kleinen Stadtrandhaus, pflegt noch immer die Traditionen aus ihrer Heimat und hilft ihren Enkeln bei den Hausaufgaben."
b7fabcfe-d6c4-41f9-8910-2073a2fef652,Olga Mikhailova,80,female,Realschule oder gleichwertiger Abschluss,Rentner/in,widowed,with_migration,Russland,Religiously_unaffiliated,heterosexual,"Sie trägt eine schlanke, von der Zeit gezeichnete Gestalt; ihr silbergraues Haar ist kurz geschnitten und oft zu einem lockeren Zopf gebunden. Warmbraune Augen, von feinen Fältchen umrahmt, gleiten in ein dezentes Lächeln, während ihr schlichtes, leicht abgenutztes Hemd und eine kariertes Strumpfkniederrück ihr praktisches, doch kultiviertes Aussehen unterstreichen.","Elena Petrova, 80, ist eine Rentnerin, die 1974 aus Russland nach Deutschland kam, um dort als Textilarbeiterin zu arbeiten. Sie heiratete 1976 einen Mitwanderer, Mikhail, und gemeinsam erzogen sie zwei Kinder in einer bescheidenen Wohnung in Hamburg, während sie ihren Realschulabschluss abschloss. Nach dem plötzlichen Tod ihres Mannes 1995 widmete sie sich den Enkeln und engagierte sich ehrenamtlich in ihrer Nachbarschaft, blieb dabei jedoch religiös indifferent. Heute pflegt sie einen Balkon im Stadtpark, hört alte Schallplatten und unterhält sich regelmäßig mit einer kleinen Gruppe russischstämmiger Freundinnen."
10be2860-2788-4164-b1f9-2a1ae1957907,Elif Ylmaz,21,female,Realschule oder gleichwertiger Abschluss,Erzieher/in,single,with_migration,Türkei,Muslims,heterosexual,"Sie hat eine helle, olivfarbene Haut, lange dunkle Haare, die oft zu einem lockeren Knoten zurückgebunden sind, und trägt ein schlichtes Kopftuch, das ihr ein traditionelles, aber jugendliches Aussehen verleiht. Ihr freundliches Lächeln und die warmen braunen Augen strahlen Offenheit und Wärme aus.","Sie ist 21 Jahre alt und wuchs in einer türkischen Familiengemeinschaft in Berlin auf. Nach dem Realschulabschluss absolvierte sie ein zweijähriges Lehramtsstudium an einer Fachschule für Erzieherinnen und arbeitet seitdem in einer Grundschule in einem vielkulturellen Stadtteil. Als Single pflegt sie ein ausgeglichenes Privatleben, in dem sie ihre muslimischen Traditionen mit den Interessen junger Erwachsener in der Nachbarschaft verbindet. Ihre heterosexuelle Orientierung ist für sie selbstverständlich, und sie sieht ihre Arbeit darin, Vorbilder für Kinder aller Hintergründe zu sein. In ihrer Freizeit engagiert sie sich bei lokalen Initiativen für die Integration von Migrantenfamilien und besucht regelmäßig die Moschee, um ihre Religiosität zu stärken."
5358a30d-aa6e-485e-9082-5652d7a3cd3c,Mert,5,male,Unknown,Unemployed,single,with_migration,Türkei,Muslims,heterosexual,"Ein fünfjähriger Junge mit dichten, dunklen Haaren, braunen Augen und einem leicht gebräunten, aber ebenen Teint, trägt ein schlichtes T‑Shirt mit türkischem Motiv, kurze Jeans und abgenutzte Turnschuhe; sein fröhliches, lebhaftes Lächeln und die lockere Pose deuten auf ein jugendliches, aktives Wesen hin.","Alvin ist fünf Jahre alt und kommt aus der Türkei, wo er als Sohn einer muslimischen Familie im Süden des Landes geboren wurde. Nach der jüngsten Migration nach Deutschland lebt er in einer kleinen Wohnung mit seiner Mutter und seinen Geschwistern, während er in der Grundschule des Nachbarschaftsviertels eingeschult ist. Da er noch ein Kind ist, arbeitet er noch nicht und hat keine formale Ausbildung abgeschlossen. Seine Kindheit ist geprägt von der Suche nach neuen Freundschaften in der Schule und dem Erlernen der deutschen Sprache. Trotz der Umstellung fühlt er sich von seiner muslimischen Kultur eingebunden, während er gleichzeitig die vielfältige deutsche Umgebung entdeckt."
cd03c8e7-bbd9-4215-8394-be9f7dbaf7d6,Mohammad Reza,19,male,Fachhochschul- oder Hochschulreife,Schüler/in,single,with_migration,Iran,Muslims,heterosexual,"Ein 19‑jähriger iranischer Student mit dunklem, leicht lockigem Haar, braunen Augen und olivfarbener Haut trägt einen lässigen T‑Shirt‑Look, das einen dezenten kulturellen Akzent trägt, und hat einen schlanken, sportlich wirkenden Körperbau.","Der 19-jährige Amir, geboren in Teheran, ist seit seinem zehnjährigen Umzug nach Berlin als hochqualifizierter Schüler mit Fachhochschulreife in einer internationalen Schule ausgeblüht. Er studiert derzeit Informatik an einer Fachhochschule, wobei er die digitale Zukunft Deutschlands mit seiner interkulturellen Perspektive bereichert. Amir ist noch unverheiratet, lebt mit einer kleinen Gruppe von Kommilitonen in einer Mietwohnung und nutzt seine Freizeit, um sich im muslimischen Gemeindezentrum zu engagieren und kulturelle Austauschprogramme zu organisieren. Durch seine offene und heterosexuelle Lebensweise hat er in der diversen studentischen Gemeinschaft als integrativer Freund und Mentor Anerkennung gefunden."
37bafb46-ae9a-4c08-a692-1916cc6df314,Mohammad Rahman,33,male,Fachhochschul- oder Hochschulreife,Friseur/in,single,with_migration,Afghanistan,Muslims,heterosexual,"Ein 33‑jähriger Afghaner mit gepflegtem, kurzem, leicht welligem schwarzen Haar und einem stz. gepflegten Bart, der in seiner barbershop‑Ästhetik einen modernen, schlichten Look trägt; er trägt meist ein schlichtes weißes Shirt, eine schwarze Ledergürteljacke und trägt ein dezentes, kleines, goldfarbenes Schmuckstück am Hals, das seine Zugehörigkeit zu einer traditionell orientierten, aber beruflich fokussierten Gemeinschaft widerspiegelt.","Als 33‑jährige muslimische Person aus Afghanistan zog er im Alter von neun Jahren mit seiner Familie nach Deutschland, wo er die Fachhochschulreife erlangte. Nach einer Ausbildung zum Friseur eröffnete er ein eigenes Studio in einer Berliner Vorstadt, das vor allem für trendige Frisuren und einen einladenden, respektvollen Service bekannt ist. Er ist ledig, hält aber enge Kontakte zu seinen muslimischen und afghanischen Nachbarn und besucht regelmäßig die örtliche Moschee. Neben der Arbeit engagiert er sich in einer Beratungsstelle für neuankömmlinge, um die Integration jüngerer Migranten zu fördern."
2089c0c0-7308-44ef-996c-d11ef6041751,Omar,33,male,Fachhochschul- oder Hochschulreife,Erzieher/in,divorced,with_migration,Syrien,Muslims,heterosexual,"Der 33-jährige Mann aus Syrien hat kurz geschnittenes, dunkles Haar, einen gepflegten Bart und braune Augen; sein leicht gebräuntes Gesicht trägt ein warmes, einladendes Lächeln. Er kleidet sich schlicht im Business‑Casual‑Stil, passend zu seiner Rolle als Erzieher.","Nach der Flucht aus Syrien im Jahr 2010 ließ sich der 33-jährige Mustafa in einem Integrationsprojekt in Köln nieder, wo er die Fachhochschulreife im Rahmen einer staatlichen Bildungsinitiative abschloss. Anschließend studierte er Erziehungswissenschaften an der Hochschule für Angewandte Wissenschaften und arbeitet seit fünf Jahren als Erzieher in einer inklusiven Grundschule, wo er besonders Migrantenkindern mit den neuen Lerninhalten hilft. Während seiner ersten Ehe, die er vor zwei Jahren geschieden hat, setzte er sich intensiv für die Vereinbarkeit von Familie und Beruf ein, und nach der Trennung lebt er jetzt mit seiner Tochter in einer Wohngemeinschaft. Sein muslimischer Glaube spielt eine bedeutende Rolle in seinem Alltag, er nimmt regelmäßig an religiösen Aktivitäten teil und engagiert sich ehrenamtlich bei einer Moschee, die Bildungsangebote für Kinder aus Migrantenfamilien organisiert."
e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,Marija Petrovi,81,female,Haupt- (Volks-)schulabschluss,Rentner/in,married,with_migration,Bosnien und Herzegowina,Christians,heterosexual,"81-jährige bosnische Frau mit leicht grauer, kinnlanger Frisur, blasser Haut und warmen Braunen Augen; ihr leicht gebeugter Gang und die handgefertigten Baumwollblusen spiegeln ein einfaches, aber gepflegtes Leben als pensionierte Haushälterin wider.","Olga Petrović wurde 1943 in der Nähe von Sarajevo geboren, wuchs dort in einer armen, aber engen Familie auf und besuchte bis zur Hauptschule die örtliche Schule. Nach ihrem Abschluss heiratete sie einen lokalen Weber und zog 1968 in die nahe Stadt, wo sie in einer Textilfabrik als Handarbeiterin arbeitete, bis 1992, als der Bosnienkrieg das Land erschütterte. Sie und ihr Mann emigrierten 1993 in den Bundesrepublik Deutschland, um der Gewalt zu entkommen, und bauten sich dort ein neues Leben auf, indem sie sich in der deutsch-bosnischen Gemeinde engagierten und regelmäßig an katholischen Gottesdiensten teilnahmen. In den letzten Jahren genießt Olga den Ruhestand, pflegt ihr Haus, kümmert sich um ihre drei Enkeln und bleibt in Kontakt mit anderen Bosnierinnen, die ebenfalls in Deutschland leben. Sie ist eine stolze, lebensfrohe Frau, die trotz aller Herausforderungen immer ihren Glauben und ihre Traditionen hochhält."
