uuid,name,age,gender,education,occupation,marriage_status,migration_status,origin,religion,sexuality,appearance,biography
37bafb46-ae9a-4c08-a692-1916cc6df314,Khalid Hassan,33,male,Fachhochschul- oder Hochschulreife,Friseur/in,single,with_migration,Afghanistan,Muslims,heterosexual,"Ein 33-jähriger Mann afghanischer Herkunft mit dunklem Haar und Bart, der oft modisch gekleidet ist und einen eleganten, gepflegten Stil als Friseur verkörpert. Se","Als 33-jähriger Mann afghanischer Herkunft lebt er seit einigen Jahren in Deutschland, wo er nach seiner Migration einen erfolgreichen Neuanfang als Friseur hingelegt hat. Nachdem er seine Fachhochschulreife erworben hatte, entschied er sich, sein Glück in einem neuen Land zu suchen, um seinen beruflichen Traum zu verwirklichen. Er ist heterosexuell und praktiziert seinen Glauben als Muslim"
2089c0c0-7308-44ef-996c-d11ef6041751,Amir Hassan,33,male,Fachhochschul- oder Hochschulreife,Erzieher/in,divorced,with_migration,Syrien,Muslims,heterosexual,"Ein 33-jähriger Mann syrischer Herkunft mit dunklem Haar und Bart, der oft traditionelle Kleidung mit westlichen Einflüssen trägt, mit einer nachdenklichen, aber offenen Ausstrahl","Als 33-jähriger syrischer Mann lebt er seit seiner Migration nach Deutschland ein neues Leben als Erzieher. Nach seinem Studium an einer Fachhochschule in Syrien musste er aufgrund des Konflikts seine Heimat verlassen und einen Neuanfang in Deutschland wagen. Seine Ehe, die er in Syrien eingegangen war, endete in einer Scheidung, nachdem sie den Stress und die Unsicherheit der"
e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,Danica Petrović,81,female,Haupt- (Volks-)schulabschluss,Rentner/in,married,with_migration,Bosnien und Herzegowina,Christians,heterosexual,"Die 81-jährige Frau hat ein freundliches, aber auch leicht gezeichnetes Gesicht mit feinen Falten, das ihre reiche Lebenserfahrung widerspiegelt, und trägt ihr graues Haar oft in","Als Tochter bosnischer Eltern kam sie im Alter von 10 Jahren nach Deutschland und wuchs hier auf. Nach Abschluss der Volksschule begann sie eine Ausbildung als Verkäuferin, welche sie jedoch nach der Heirat mit ihrem Ehemann nicht fortsetzte, sondern sich der Erziehung ihrer Kinder widmete. Später arbeitete sie Teilzeit in einem Einzelhandelsunternehmen, bevor sie in den Ruhestand ging"
b7fabcfe-d6c4-41f9-8910-2073a2fef652,Natalja Petrowna Kusnezowa,80,female,Realschule oder gleichwertiger Abschluss,Rentner/in,widowed,with_migration,Russland,Religiously_unaffiliated,heterosexual,"Eine ältere Dame mit silbernen Haaren, faltigem Teint und einer klassisch-einfachen Erscheinung, die ihre russischen Wurzeln in ihren Gesichtszügen und der Art, wie sie sich kle","Nach ihrer Auswanderung aus Russland im jungen Erwachsenenalter lebte sie über 50 Jahre in Deutschland, wo sie nach ihrem Realschulabschluss eine Familie gründete und mehrere Jahrzehnte lang berufstätig war, bevor sie in den Ruhestand ging. Ihre Ehe, die über 40 Jahre gehalten hatte, endete mit dem Tod ihres Mannes vor etwa zehn Jahren. Trotz des Ver"
10be2860-2788-4164-b1f9-2a1ae1957907,Ayşe Yılmaz,21,female,Realschule oder gleichwertiger Abschluss,Erzieher/in,single,with_migration,Türkei,Muslims,heterosexual,"Die junge Frau hat lange, dunkle Haare, einen schlichten, aber eleganten Stil und trägt oft traditionelle türkische Kleidung mit einem Haarschleier oder Kopftuch, das ihre konservative","Als 21-jährige Erzieherin mit türkischem Migrationshintergrund lebt sie seit einigen Jahren in Deutschland und hat einen Realschulabschluss erworben. Ihre muslimischen Wurzeln und kulturellen Traditionen prägen ihren Alltag, während sie sich beruflich für die Betreuung und Bildung von Kindern engagiert. Sie ist ledig und konzentriert sich auf ihre Karriere und persönliche"
5358a30d-aa6e-485e-9082-5652d7a3cd3c,Emir Yilmaz,5,male,Unknown,Unemployed,single,with_migration,Türkei,Muslims,heterosexual,"Ein kleiner, dunkelhaariger Junge mit großen, neugierigen Augen und einer hellen Haut, die oft von der türkischen Sonne gebräunt ist, trägt typischerweise leichte, bequ","Der fünfjährige Junge ist ein kleiner Migrant aus der Türkei, der mit seiner Familie in ein neues Land gezogen ist. Als muslimischer Junge wächst er in einer Umgebung auf, in der kulturelle Traditionen und religiöse Werte eine wichtige Rolle spielen. Seine Eltern bemühen sich, ihm eine gute Erziehung zu geben, trotz der Unsicherheiten, die ihre Migration mit sich bringt. Der"
cd03c8e7-bbd9-4215-8394-be9f7dbaf7d6,Kian Rashidi,19,male,Fachhochschul- oder Hochschulreife,Schüler/in,single,with_migration,Iran,Muslims,heterosexual,"Ein 19-jähriger iranischer Schüler mit dunklen Haaren und Augen, mittlerer Statur und einem schlanken Körperbau, der oft traditionelle iranische Kleidung mit westlichen Einflüssen komb","Als 19-jähriger männlicher Schüler mit iranischem Migrationshintergrund hat er nach seinem Umzug nach Deutschland sein Abitur erworben und strebt nun danach, seine akademische Laufbahn an einer Fachhochschule oder Universität fortzusetzen. Seine muslimischen Wurzeln und kulturellen Traditionen prägen seinen Alltag, während er gleichzeitig versucht, sich in die deutsche Gesellschaft zu integrier"
8c3be5c5-e5fd-41d6-857d-125d3d40402a,Mariusz Kowalski,18,male,Fachhochschul- oder Hochschulreife,Reinigungskraft,single,with_migration,Polen,Christians,heterosexual,"Der junge Mann hat kurze, dunkelblonde Haare und einen schlanken Körperbau, was auf seine jugendliche Energie und körperliche Arbeit als Reinigungskraft hinweist. Seine Gesichtszüge","Der 18-jährige polnische Einwanderer ist als Reinigungskraft tätig und hat kürzlich seinen Umzug in ein neues Land abgeschlossen. Er besitzt einen Fachhochschul- oder Hochschulabschluss und identifiziert sich als Christ, wobei seine heterosexuelle Orientierung und sein lediger Status Teil seines jungen Erwachsenenlebens sind. Seine Migrationserfahrungen haben ihn"
da8ced65-f19b-45e6-80fb-03f9d7ae8632,Alessandro Bianchi,48,male,Fachhochschul- oder Hochschulreife,Sozialarbeiter/in,married,with_migration,Italien,Christians,heterosexual,"Ein 48-jähriger Mann italienischer Herkunft mit einem durchschnittlichen Körperbau, kurzen dunklen Haaren und einem gepflegten Bart, der seine Profession als Sozialarbeiter durch eine praktische und","Giovanni, ein 48-jähriger italienischer Sozialarbeiter, ist verheiratet und hat nach seinem Studium der Sozialarbeit an einer Fachhochschule in Italien, Deutschland seinen beruflichen Werdegang fortgesetzt. Als gläubiger Christ engagiert er sich ehrenamtlich in seiner Kirchengemeinde und setzt sich für die Unterstützung von Migranten ein, da er selbst Erfahrungen mit dem"
9de88a1d-3024-4dde-b894-db9051b2d76b,Hans Müller,81,male,Realschule oder gleichwertiger Abschluss,Rentner/in,divorced,without_migration,Deutschland,Christians,heterosexual,"Ein 81-jähriger Mann mit dünnem, grauem Haar, einem gepflegten, aber leicht gealterten Gesichtsausdruck und einer Figur, die von Jahren der Zurückgezogenheit in","Der 81-jährige deutsche Rentner lebt nach seiner Scheidung ein ruhiges Leben in seinem Heimatland. Nach dem Besuch der Realschule begann er seine berufliche Laufbahn, die ihn über viele Jahre hinweg prägte, bevor er in den Ruhestand ging. Als gläubiger Christ nimmt er regelmäßig an Gottesdiensten teil und findet Trost in seiner Gemeinde. Seine heterosex"
