uuid,name,age,gender,education,occupation,marriage_status,migration_status,origin,religion,sexuality,appearance,biography
37bafb46-ae9a-4c08-a692-1916cc6df314,Ahmad Salim Aziz Khan,33,male,Fachhochschul- oder Hochschulreife,Friseur/in,single,with_migration,Afghanistan,Muslims,heterosexual,"Der Mann ist 33 Jahre alt, hat dunkelbraune Haare mit Wellen, die bis zu den Schultern reichen. Sein Gesicht ist rundlich mit tiefen Augen und langen schwarzen Aug","Geboren ist Ahmad im Jahr 1988 in Kabul, Afghanistan. Nach seiner Schulzeit erwarb er seine Fachhochschulreife und zog im Jahr 2010 nach Deutschland, um seinen Traum als Friseur zu verfolgen. Er arbeitet jetzt erfolgreich in einem renommierten Salon in Berlin und ist bekannt für seine exquisiten Haarfrisuren. Ahmad blieb bisher unver"
2089c0c0-7308-44ef-996c-d11ef6041751,Ahmad Ali Emir Divorced Educated Migrant Syrian,33,male,Fachhochschul- oder Hochschulreife,Erzieher/in,divorced,with_migration,Syrien,Muslims,heterosexual,"Der 33-jährige Mann hat dunkelbraunes Haar, das kurz geschnitten ist. Seine Augen sind braun und tragen Rimless-Brille, die seine charakteristisch tief","Ahmad, geboren im Jahr 1988 in Aleppo (Syrien), ist ein muslimischer Mann syrischer Abstammung. Er hat seine Schulbildung in seiner Heimatstadt beendet und ist anschließend nach Deutschland gezogen, um dort als Asylant zu leben. Er besitzt die Fachhochschul- oder Hochschulreife. Nach seinem Studium arbeitete er zunächst in verschiedenen Bere"
e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,Svetlana Petrovic,81,female,Haupt- (Volks-)schulabschluss,Rentner/in,married,with_migration,Bosnien und Herzegowina,Christians,heterosexual,"Eine 81-jährige Frau mit bosnisch-herzegowinischer Herkunft, die als Rentnerin lebt und verheiratet ist. Ihr kürzeres Haar ist gra","Frau Maria Novakovic, geboren im Jahr 1940 in Bosnien und Herzegowina, wuchs in einer traditionellen katholischen Familie auf. Sie absolvierte ihre schulische Ausbildung bis zum Hauptschulabschluss. In jungen Jahren emigrierte sie nach Deutschland, wo sie ihren Ehemann kennenlernte und heiratete. Ihr Leben als Rentnerin ist geprägt von der"
10be2860-2788-4164-b1f9-2a1ae1957907,Aysel Kaya-Senel,21,female,Realschule oder gleichwertiger Abschluss,Erzieher/in,single,with_migration,Türkei,Muslims,heterosexual,"Eine 21-jährige Frau mit dunkelbraunen Augen und schwarzem Haar, die kurz geschnitten ist. Sie trägt traditionelle türkische Kleidung wie einen Langrock","Geboren ist sie im Jahr 2000 in Türkiye als Tochter eines Lehrers und einer Hausfrau. Mit 18 Jahren hat sie ihr Realschulstudium abgeschlossen und zog anschließend nach Deutschland, um dort ihre Karriere als Erzieherin zu starten. In ihrer Freizeit engagiert sie sich aktiv in der muslimischen Gemeinde und pflegt ihr türkisches Kultur"
5358a30d-aa6e-485e-9082-5652d7a3cd3c,Ahmet Ali Yilmaz,5,male,Unknown,Unemployed,single,with_migration,Türkei,Muslims,heterosexual,"Ein junger Mann mit dunkelbraunen Haaren, wahrscheinlich kürzer geschnitten, weil er noch sehr klein ist. Seine Augen sind dunkelbraun wie seine Haare","In the heart of Istanbul, a city where East meets West, a young boy named Ahmet was born to Turkish parents who had migrated from Germany. At the tender age of five, he found himself navigating life without a fixed occupation due to unforeseen circumstances. His education was yet to be defined as he was still exploring the vast world of knowledge at a local kindergarten. Despite his early challenges, Ahmet's Muslim faith and heritage were strong pillars of support"
cd03c8e7-bbd9-4215-8394-be9f7dbaf7d6,Ahmad Schmidt,19,male,Fachhochschul- oder Hochschulreife,Schüler/in,single,with_migration,Iran,Muslims,heterosexual,"Der 19-jährige Mann hat dunkelbraune Augen und dunkelbraunes Haar, das meistens kurz getragen wird. Er trägt traditionelle iranische Kleidung wie","In der jungen Alter von 19 Jahren lebt Ali als Schüler in Deutschland. Er stammt aus Iran und hat eine muslimische Herkunft. Er hat eine Fachhochschul- oder Hochschulreife und ist noch unverheiratet. Aufgrund seiner Migrationshintergrund ist seine Sprache persisch, aber er spricht fließend Deutsch. Als Hobby interessiert ihn das Lesen von B"
8c3be5c5-e5fd-41d6-857d-125d3d40402a,Mateusz Kowalski-Janowski,18,male,Fachhochschul- oder Hochschulreife,Reinigungskraft,single,with_migration,Polen,Christians,heterosexual,"Der Mann ist 18 Jahre alt, hat polnische Wurzeln und ist von europäischer Abstammung. Mit einem schmalen Gesicht, dunkelbraunem Haar, dunklen Augen","Der jüngste Sohn von vier Kindern, Jan Kowalski, wurde im Jahr 2000 in Warschau, Polen, geboren. Nach dem Abschluss seiner schulischen Ausbildung an einem Gymnasium in Polen, erlangte er seine Fachhochschul- oder Hochschulreife und entschied sich, nach Deutschland zu emigrieren. Im Jahr 2018 begann er eine Tätigkeit"
da8ced65-f19b-45e6-80fb-03f9d7ae8632,SalvatoreMarconiBianchiDiRosso,48,male,Fachhochschul- oder Hochschulreife,Sozialarbeiter/in,married,with_migration,Italien,Christians,heterosexual,"Ein mittleralterlicher Mann mit dunkelbraunen Haaren und einem schmalen Bart, die durch seine italienischen Wurzeln etwas heller sind als das übliche Mittelmeerhaar. Sein Ges","Der 48-jährige Italiener, Marco Rossi, wuchs in einem kleinen Dorf im Süden Italiens auf, um dann nach Deutschland zu emigrieren, wo er seinen Bachelor in Sozialarbeit erlangte. Er ist seit über 20 Jahren verheiratet mit seiner deutschen Frau und hat zwei erwachsene Kinder. Seit seiner Ankunft in Deutschland arbeitet Marco als Sozialarbeiter, um"
9de88a1d-3024-4dde-b894-db9051b2d76b,Hans-Peter RetireDivorcedEducatedGerman,81,male,Realschule oder gleichwertiger Abschluss,Rentner/in,divorced,without_migration,Deutschland,Christians,heterosexual,"Der Mann ist hochbeinig gebaut, hat weißes Haar, das teilweise grau gefärbt ist, und trägt einen Bart. Seine Augen sind dunkelbraun. Er trägt Br","Herr Johann Müller, geboren am 24. März 1940 in Köln, ist ein 81-jähriger deutscher Rentner. Er verbrachte seine gesamte Schulzeit an einer Realschule und hat keinen akademischen Grad erreicht. In den 60er Jahren heiratete er seine Jugendliebe und hatte mit ihr zwei Kinder, die beide heute erwachsen sind. Nach einem l"
ad458017-c7e9-443d-9f77-8e598ba12153,Johann Martin Lehrer,23,male,Realschule oder gleichwertiger Abschluss,Lehrer/in,single,without_migration,Deutschland,Religiously_unaffiliated,heterosexual,"Ein jüngerer Mann mit einer durchschnittlichen Körpergröße, wahrscheinlich mit dunkelblondem Haaransatz, kurz geschnitten und gelegentlich mit einem Lehr","Der 23-jährige Mann ist geboren und aufgewachsen ist in Deutschland. Er hat seine Schulausbildung an einer Realschule abgeschlossen und arbeitet nun als Lehrer. Aktuell ist er single, ohne religiöse Anschauungen und identifiziert sich als heterosexuell. Er hat bisher noch keine Erfahrungen mit Migration gemacht."
