uuid,name,age,gender,education,occupation,marriage_status,migration_status,origin,religion,sexuality,appearance,biography
37bafb46-ae9a-4c08-a692-1916cc6df314,Amir,33,male,Fachhochschul- oder Hochschulreife,Friseur/in,single,with_migration,Afghanistan,Muslims,heterosexual,"Er hat kurze, gepflegte dunkle Haare, die er oft stylisch frisiert trägt. Seine Haut ist olivfarben, und er hat markante Gesichtszüge und ausdrucksstarke Augen.","Der 33-jährige heterosexuelle Friseur mit afghanischen Wurzeln ist als muslimischer Einwanderer nach Deutschland gekommen und hat hier erfolgreich seine Fachhochschulreife erworben. Trotz seiner erfolgreichen beruflichen Laufbahn bleibt er ledig und konzentriert sich auf seine Arbeit und das soziale Netzwerk, dass er sich im Laufe der Jahre aufgebaut hat."
2089c0c0-7308-44ef-996c-d11ef6041751,Amir,33,male,Fachhochschul- oder Hochschulreife,Erzieher/in,divorced,with_migration,Syrien,Muslims,heterosexual,"Ein Mann syrischer Herkunft mit einem offenen, freundlichen Gesichtsausdruck, kurze dunkle Haare, einen Dreitagebart und leicht gebräunter Haut. Er trägt oft praktische Kleidung, wie Jeans und ein Polohemd","Der 33-jährige Erzieher Mustafa wanderte als junger Mann mit seiner Familie aus Syrien nach Deutschland aus und konnte hier dank seines Fleißes und seiner sozialen Kompetenz einen sicheren Arbeitsplatz finden. Nach seinem Fachabitur absolvierte er eine Ausbildung im sozialen Bereich und arbeitete zunächst in verschiedenen Kinder- und Jugendheimen. Nach einigen Jahren heiratete er seine deutsche Freundin, doch die Ehe hielt nicht lange und endete in einer Scheidung. Trotz der Herausforderungen bleibt"
e4fee8e4-37ab-44c7-8f9e-33e34781b5e2,Mira,81,female,Haupt- (Volks-)schulabschluss,Rentner/in,married,with_migration,Bosnien und Herzegowina,Christians,heterosexual,"Eine hochgewachsene Frau bosnischer Herkunft mit einem freundlichen Gesicht und tiefen Falten um die Augen, die von einem Leben voller Erfahrung zeugen. Sie trägt ihr graues Haar kurz geschnitten und elegant frisiert, oft kombiniert","Mira, geboren in Bosnien und Herzegowina, wanderte in jungen Jahren nach Deutschland aus. Sie heiratete ihren Ehemann, mit dem sie eine glückliche Ehe führt. Nach einem arbeitsreichen Leben als Arbeiterin genießt sie nun ihre Rente und verbringt viel Zeit mit ihrer Familie. Ihre christlichen Werte spielen eine wichtige Rolle in ihrem Alltag und helfen ihr, auch in schwierigen Zeiten Halt zu finden."
b7fabcfe-d6c4-41f9-8910-2073a2fef652,Maria,80,female,Realschule oder gleichwertiger Abschluss,Rentner/in,widowed,with_migration,Russland,Religiously_unaffiliated,heterosexual,"Die 80-jährige Frau hat ein freundliches Gesicht mit vielen Lachfältchen um die Augen, ihre grauen Haare sind kurz geschnitten und sie trägt oft traditionelle russische Kleidung, wie eine Bluse mit einem farbigen","Die Frau kam 1942 in Russland zur Welt und wanderte später nach Deutschland aus. Nach ihrem Realschulabschluss begann sie eine Ausbildung im Büro- und Verwaltungsbereich, wo sie bis zu ihrer Rente tätig war. Sie heiratete ihren Mann, einen deutschen Mitbürger, den sie während des Studiums kennenlernte und hatte zwei Kinder. Nach dem Tod ihres Ehemannes lebt sie seit mehreren Jahren als Witwe und hat sich der Familie, aber auch der russisch-de"
10be2860-2788-4164-b1f9-2a1ae1957907,Leyla,21,female,Realschule oder gleichwertiger Abschluss,Erzieher/in,single,with_migration,Türkei,Muslims,heterosexual,"Eine junge Frau türkischer Abstammung, Mitte zwanzig, mit braunem Haar, das oft zu einem lockeren Zopf gebunden ist, und warmen, dunklen Augen, die Freundlichkeit und Geduld ausstrahlen, typisch",Sie wurde als Kind türkischer Einwanderer in Deutschland geboren und wuchs in einem multikulturellen Umfeld auf. Nach ihrem Realschulabschluss begann sie ihre Ausbildung zur Erzieherin und zeigt großes Engagement im Umgang mit Kindern. Sie ist stolz auf ihre kulturellen Wurzeln und praktiziert den Islam in ihrem Alltag.
5358a30d-aa6e-485e-9082-5652d7a3cd3c,Ahmad,5,male,Unknown,Unemployed,single,with_migration,Türkei,Muslims,heterosexual,"Ein etwa fünf Jahre alter Junge türkischer Abstammung, der durch sein dunkles Haar und braune Augen auffällt, trägt oft bunte Kinderkleidung.","Der kleine Mehmet ist ein lebhafter fünfjähriger Junge, der gemeinsam mit seiner Familie vor kurzem aus der Türkei nach Deutschland gezogen ist. Er lebt derzeit noch im Haushalt seiner Eltern, wo er von der Kultur und den Traditionen seines Heimatlandes geprägt wird. Da er erst seit Kurzem in Deutschland ist, besucht er derzeit keine Schule."
cd03c8e7-bbd9-4215-8394-be9f7dbaf7d6,Ehsan,19,male,Fachhochschul- oder Hochschulreife,Schüler/in,single,with_migration,Iran,Muslims,heterosexual,"Ein junger Mann mit dunklem Haar und braunen Augen, dessen Kleidung eine Mischung aus modernen Trends und traditionellen iranischen Einflüssen zeigt.","Saman ist ein 19-jähriger Schüler iranischer Herkunft, der vor einigen Jahren mit seiner Familie nach Deutschland ausgewandert ist. Er hat die Fachhochschulreife erworben und lebt derzeit noch bei seinen Eltern in einem kleinen Haus am Stadtrand. Als heterosexueller junger Mann ist er sehr sportlich aktiv und spielt regelmäßig Fußball im Verein. Seine muslimische Religion spielt eine wichtige Rolle in seinem Leben und er besucht regelmäßig den Moscheebesuch"
8c3be5c5-e5fd-41d6-857d-125d3d40402a,Marcin,18,male,Fachhochschul- oder Hochschulreife,Reinigungskraft,single,with_migration,Polen,Christians,heterosexual,"Ein junger Mann mit osteuropäischen Gesichtszügen, dunklem Haar und braunen Augen, der sportlich-kasual gekleidet ist.","Der 18-jährige Piotr kam vor zehn Jahren mit seiner Familie aus Polen nach Deutschland. Er lebt derzeit noch bei seinen Eltern und hat kürzlich seine Fachhochschulreife erlangt. Trotz seines Bildungsabschlusses arbeitet er derzeit als Reinigungskraft, um finanziell zu unterstützen und erste Berufserfahrungen zu sammeln. Als heterosexueller Christ ist er offen für neue Kontakte und möchte später eine Ausbildung beginnen, um seine beruflichen Möglichkeiten zu erweit"
da8ced65-f19b-45e6-80fb-03f9d7ae8632,Giovanni,48,male,Fachhochschul- oder Hochschulreife,Sozialarbeiter/in,married,with_migration,Italien,Christians,heterosexual,"Ein Mann Anfang 50, von kräftiger Statur mit leicht ergrautem Haar und einem markanten Gesicht, das von seiner herzlichen Art zeugt, trägt oft einen gepflegten Dreitagebart.","Geboren wurde Giovanni in Italien, wo er auch seine ersten Lebensjahre verbrachte. Mit Mitte zwanzig wanderte er nach Deutschland aus, um hier eine neue Zukunft zu suchen. Nach seinem erfolgreichen Abschluss an der Fachhochschule begann er als Sozialarbeiter zu arbeiten, wo er sich leidenschaftlich für benachteiligte Menschen einsetzt. Seit über einem Jahrzehnt ist er nun verheiratet und lebt glücklich mit seiner Frau in einer kleinen Stadt."
9de88a1d-3024-4dde-b894-db9051b2d76b,Heinrich,81,male,Realschule oder gleichwertiger Abschluss,Rentner/in,divorced,without_migration,Deutschland,Christians,heterosexual,"Ein 81-jähriger Mann mit einem kräftigen Kinn und tiefen Falten um die Augen, die von einem Leben voller Erfahrungen erzählen. Er trägt seine Haare kurz und gepflegt, grau-weiß, und bevorzugt",Geboren 1942 in Deutschland besuchte er die Realschule und arbeitete später in verschiedenen handwerklichen Berufen. Nach einer Scheidung lebt er seit vielen Jahren als Rentner alleine. Er ist christlich gläubig und hat sich trotz mancher Herausforderungen im Leben seinen Humor bewahrt.
